,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
6858,Daggerboard,Masthead Sloop,3.66 m,3.51 m,0.99 m,,0.36 m,32 kg,,,,20.55,ABS,,1966,60000,,1.93,3.15,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-devil/pdf"">PDF</a>",SEA DEVIL,0.05 m,Siltronics Inc.,,,,,,,,,,,,,,,
6859,Fin w/spade rudder,Masthead Sloop,8.70 m,6.70 m,2.90 m,46.92 m<sup>2</sup>,1.55 m,"3,800 kg","1,220 kg",19.65,32.11,352.17,Steel/Alu,,1978,,E. G. van de Stadt,26.91,1.88,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-dog-29-van-de-stadt/pdf"">PDF</a>",SEA DOG 29 (VAN DE STADT),,Plans for hard and soft chine,,,,,,,,,,,,,,,
6860,Fin with rudder on skeg,Masthead Sloop,9.45 m,8.33 m,3.15 m,45.34 m<sup>2</sup>,1.45 m,"5,670 kg","2,325 kg",14.55,41.00,273.37,FG Airex hull/ balsa deck,,1979,,Stan Huntingford,30.30,1.78,1.74,12.04 m,4.11 m,10.36 m,3.96 m,,,24.77 m<sup>2</sup>,20.53 m<sup>2</sup>,14.54,12.72 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-eagle-31/pdf"">PDF</a>",SEA EAGLE 31,,,,1982,Yanmar,Diesel,20,132 L,,246 L,,,,,,,
6861,Modified Full Keel,Masthead Sloop,9.41 m,6.60 m,2.65 m,36.84 m<sup>2</sup>,1.36 m,"3,570 kg","1,600 kg",16.09,44.81,346.26,Mahogany,Iron,1962,56,Olle Enderlein,27.94,1.75,1.37,10.40 m,3.45 m,9.00 m,4.20 m,,,17.94 m<sup>2</sup>,18.90 m<sup>2</sup>,16.09,10.96 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-eagle-i-enderlein/pdf"">PDF</a>",SEA EAGLE I (ENDERLEIN),,Örnmaskiner/Storebro,MD1,1964,Volvo Penta,Diesel,5-7,30 L,,60 L,,,,,,,
6862,Modified Full Keel,Masthead Sloop,10.36 m,7.40 m,2.95 m,44.00 m<sup>2</sup>,1.73 m,"5,200 kg","2,300 kg",14.96,44.23,357.55,Wood (Mahogany),Cast iron,1964,45,Olle Enderlein,31.69,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-eagle-ii-enderlein/pdf"">PDF</a>",SEA EAGLE II (ENDERLEIN),,Storebro Bruks (SWE),MD2,1968,Volvo Penta,Diesel,15.5,,,,,,,,,,
6863,Dbrd. Dinghy,Lateen,3.10 m,,0.97 m,3.53 m<sup>2</sup>,,36 kg,,32.75,,,FG,,1968,,,,2.94,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-horse/pdf"">PDF</a>",SEA HORSE,,Ray Greene & Co.,,,,,,,,,,,,,,,
6864,Scow Sngl. Cbrd.,Fractional  Sloop,6.25 m,,2.23 m,27.87 m<sup>2</sup>,,363 kg,,55.79,,,"Wood, hard chined",,1947,8,Oliver F. Seabrook/Henry Sheel,,3.16,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-island-one-design/pdf"">PDF</a>",SEA ISLAND ONE-DESIGN,,Sea Island Boatworks (USA),,1995,,,,,,,www.seaislandyachtclub.net,,,,,,
6865,Fin with rudder on skeg,Cutter,13.77 m,12.04 m,4.06 m,,1.98 m,"14,061 kg","4,763 kg",,33.87,224.55,FG,,1989,,Stan Huntingford,36.94,1.70,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-maid-45/pdf"">PDF</a>",SEA MAID 45,,North Fraser Yachts,,,Cummins,Diesel,,568 L,,568 L,,,,,,,
6866,Fin w/transom hung rudder,Fractional  Sloop,6.50 m,5.70 m,2.50 m,25.92 m<sup>2</sup>,1.25 m,"1,050 kg",400 kg,25.57,38.10,158.04,Plywood,,1978,400,E. G. van de Stadt,11.13,2.48,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-mini-21/pdf"">PDF</a>",SEA MINI 21,,,,,,,,,,,,,,,,,
6867,Catamaran (no boards/asym.),Fractional  Sloop,4.57 m,,1.96 m,11.61 m<sup>2</sup>,,68 kg,,70.88,,,FG,,1966,,Allan J. Arnold,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-moth-ii/pdf"">PDF</a>",SEA MOTH II,,various,,,,,,,,,,N/A,,,,,
6868,Centerboard (Trunk),Cat Ketch (unstayed),6.40 m,5.79 m,1.68 m,12.63 m<sup>2</sup>,0.76 m,272 kg,,30.63,,39.05,FG,,1982,415,L. F. Herreshoff/Ron Johnson,4.88,2.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-pearl-21/pdf"">PDF</a>",SEA PEARL 21,0.15 m,Marine Concepts (USA),,,,,,,,,,,,,,,
6869,Trimaran Cbrd.,Cat Ketch (unstayed),6.40 m,5.79 m,4.27 m,15.42 m<sup>2</sup>,0.81 m,431 kg,,27.53,,61.83,FG,,1993,,Marine Concepts,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-pearl-21-tri/pdf"">PDF</a>",SEA PEARL 21 (TRI),0.20 m,Marine Concepts (USA),,,,,,,,,,0.91,,,,,
6870,Keel/Cbrd.,Cat Ketch,8.43 m,7.49 m,2.44 m,26.94 m<sup>2</sup>,1.68 m,"1,701 kg",544 kg,19.28,32.00,112.73,FG,,1990,,Ron Johnson,14.23,2.06,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-pearl-28/pdf"">PDF</a>",SEA PEARL 28,0.48 m,Marine Concepts (USA),,,,,,,,189 L,,,,,,,
6871,Triple Keel,Masthead Sloop,8.61 m,7.32 m,2.59 m,29.26 m<sup>2</sup>,0.91 m,"4,064 kg","1,814 kg",11.72,44.64,289.35,FG,,1966,,Kenneth Evans,31.66,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-rover-28/pdf"">PDF</a>",SEA ROVER 28,,Kenneth Evans & Partners Ltd./Colvic Craft  (GBR),,,,Gas,,57 L,,38 L,,,,,,,
6872,Long Keel,Masthead Sloop,9.09 m,7.92 m,3.10 m,37.53 m<sup>2</sup>,1.37 m,"5,942 kg","1,089 kg",11.67,18.32,332.74,Wood planked (teak),Lead,1965,32,Wirth Monroe,33.95,1.73,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-sailer-30/pdf"">PDF</a>",SEA SAILER 30,,Robin Fung Co. Ltd. (HK),,,Perkins,Diesel,40,379 L,,379 L,,,,,,,
6873,Dbrd. Dinghy,Cat (unstayed),3.18 m,,1.37 m,5.57 m<sup>2</sup>,0.53 m,86 kg,,29.07,,,FG,,1957,3200,Edwin Monk,,3.13,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-scooter/pdf"">PDF</a>",SEA SCOOTER,0.15 m,Youth Adventure Inc./Puget Boat Mfg (USA),,1969,,,,,,,,,,,,,
6874,Dbrd. Dinghy,Cat (unstayed),3.18 m,,1.37 m,5.57 m<sup>2</sup>,0.53 m,59 kg,,37.43,,,FG,,1957,,Edwin Monk,,3.55,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-scouter/pdf"">PDF</a>",SEA SCOUTER,0.15 m,Youth Adventure Inc.,,,,,,,,,,,,,,,
6875,Dbrd. Dinghy,Fractional  Sloop,3.66 m,,0.99 m,6.50 m<sup>2</sup>,,25 kg,,77.43,,,ABS,,1958,,,,3.42,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-skimmer/pdf"">PDF</a>",SEA SKIMMER,,Meyers Boat Co. (USA),,,,,,,,,,,,,,,
6876,Daggerboard,Lateen,3.35 m,3.20 m,0.97 m,4.18 m<sup>2</sup>,0.36 m,18 kg,,61.54,,15.43,ABS,,1958,30000,,1.25,3.71,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-snark-super-snark/pdf"">PDF</a>",SEA SNARK (SUPER SNARK),0.05 m,Meyers Boat Co. (USA),,,,,,,,,,,,,,,
6877,Catamaran Twin Dbrd.,Fractional  Sloop,4.57 m,,1.98 m,11.61 m<sup>2</sup>,,82 kg,,62.78,,,FG,,1966,,Allan J. Arnold,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-spray-15/pdf"">PDF</a>",SEA SPRAY 15,,various,,,,,,,,,,N/A,,,,,
6878,Catamaran Twin Cbrd.,Frac. Sloop (Rotating Spar),5.49 m,5.39 m,2.41 m,20.44 m<sup>2</sup>,0.71 m,145 kg,,75.32,,25.89,FG,,1971,,Kirke Leonard,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-spray-18/pdf"">PDF</a>",SEA SPRAY 18,0.20 m,,,,,,,,,,,1.74,,,,,
6879,Long Keel,Fractional  Sloop,6.86 m,4.95 m,2.13 m,22.95 m<sup>2</sup>,0.91 m,"1,520 kg",656 kg,17.70,43.19,348.53,FG,,1958,780,Carl Alberg,21.37,1.87,1.48,7.62 m,2.38 m,8.23 m,3.48 m,,,9.08 m<sup>2</sup>,14.32 m<sup>2</sup>,18.05,7.98 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-sprite-23-daysailer/pdf"">PDF</a>",SEA SPRITE 23 (DAYSAILER),,C.E.Ryder/Sailstar Boats/Seasprite Co. (USA),1 GM,1986,Yanmar,Diesel,,30 L,,36 L,,,,,,,
6880,Long Keel,Fractional  Sloop,6.86 m,4.95 m,2.13 m,22.95 m<sup>2</sup>,0.94 m,"1,520 kg",635 kg,17.70,41.79,348.53,FG,,1958,,Carl Alberg,21.37,1.87,1.46,7.62 m,2.29 m,8.23 m,3.48 m,,,8.71 m<sup>2</sup>,14.32 m<sup>2</sup>,17.76,7.96 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-sprite-23-weekender/pdf"">PDF</a>",SEA SPRITE 23 (WEEKENDER),,C.E.Ryder/Sailstar Boats/Seasprite Co. (USA),,,,,,,,,,,,,,,
6881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA SPRITE 27/28,,,,,,,,,,,,,,,,,
6882,Long Keel,Fractional  Sloop,9.20 m,6.71 m,2.90 m,39.48 m<sup>2</sup>,1.45 m,"4,536 kg","1,860 kg",14.70,41.00,419.26,FG,Lead,1982,,A. E. Luders,31.51,1.77,0.93,10.97 m,3.66 m,11.06 m,3.51 m,,,20.07 m<sup>2</sup>,19.39 m<sup>2</sup>,14.69,11.57 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-sprite-30/pdf"">PDF</a>",SEA SPRITE 30,,C. E. Ryder (USA),18,,Universal,Diesel,14,,,,,,,,,,
6883,Long Keel,Fractional  Sloop,10.31 m,7.32 m,3.12 m,49.15 m<sup>2</sup>,1.52 m,"5,806 kg","2,268 kg",15.52,39.06,413.36,FG,Lead,1980,45,A. E. Luders,33.07,1.76,0.99,11.89 m,3.90 m,12.34 m,4.21 m,,,23.19 m<sup>2</sup>,25.96 m<sup>2</sup>,15.52,12.51 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-sprite-34/pdf"">PDF</a>",SEA SPRITE 34,,C. E. Ryder (USA),30,,Universal,Diesel,25,68 L,,189 L,,,,,,,
