,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
922,Lifting Keel,Fractional  Sloop,7.50 m,7.32 m,2.45 m,34.00 m<sup>2</sup>,1.70 m,"1,080 kg",375 kg,32.92,34.73,76.89,FG,,1993,80,Greg Young (NZ),9.47,2.41,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/bull-7000/pdf"">PDF</a>",BULL 7000,,Topper Int./Parker Yachts (UK),,,,,,,,,,,,,,,
923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BULL&#039;S EYE,,,,,,,,,,,,,,,,,
924,Centerboard Dinghy,Fractional  Sloop,4.20 m,,1.20 m,10.03 m<sup>2</sup>,,68 kg,,61.24,,,Plywood/FG,,1975,,Peter Milne,,2.97,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/bullet-milne/pdf"">PDF</a>",BULLET (MILNE),,J. Chippendale,,,,,,,,,,,,,,,
925,Centerboard Dinghy,Cat (unstayed),4.29 m,3.89 m,1.42 m,8.36 m<sup>2</sup>,0.91 m,82 kg,,45.20,,38.77,FG,,1971,,,2.71,3.31,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/bullet-14/pdf"">PDF</a>",BULLET 14,0.13 m,Newport Boats (USA),,,,,,,,,,,,,,6.15 m,
926,Trimaran Dbrd.,Masthead Sloop,6.10 m,5.67 m,3.35 m,21.09 m<sup>2</sup>,0.91 m,318 kg,,46.14,,48.56,Plywood,,1962,,Lock Crowther,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/bunyip-20/pdf"">PDF</a>",BUNYIP 20,0.24 m,Plans for home builder,,,,,,,,,,1.23,,,,,
927,Fin w/spade rudder,Fractional  Sloop,6.25 m,5.41 m,2.21 m,19.42 m<sup>2</sup>,1.22 m,848 kg,485 kg,22.08,57.22,149.28,FG,,1980,,Chuck Burns,11.11,2.36,4.06,7.62 m,2.65 m,7.62 m,2.44 m,,,10.10 m<sup>2</sup>,9.29 m<sup>2</sup>,22.05,8.07 m,"<a class="""" href=""https://sailboatdata.com/sailboat/burns-21/pdf"">PDF</a>",BURNS 21,,,,,,,,,,,,,,,,,
928,Fin w/spade rudder,Fractional  Sloop,9.14 m,8.13 m,2.73 m,34.47 m<sup>2</sup>,1.73 m,"1,678 kg",862 kg,24.88,51.35,87.07,FG,,1982,,Chuck Burns,11.14,2.32,5.79,10.36 m,3.58 m,9.24 m,3.44 m,,,18.56 m<sup>2</sup>,15.92 m<sup>2</sup>,24.89,10.96 m,"<a class="""" href=""https://sailboatdata.com/sailboat/burns-30/pdf"">PDF</a>",BURNS 30,,,,,,,,,,,,,,,,,
929,Fin w/spade rudder,Masthead Sloop,12.06 m,10.31 m,3.45 m,64.94 m<sup>2</sup>,1.83 m,"4,763 kg","2,268 kg",23.40,47.62,121.07,FG,,1984,,Chuck Burns,18.00,2.07,4.79,15.24 m,4.72 m,13.56 m,4.27 m,,,36.00 m<sup>2</sup>,28.94 m<sup>2</sup>,23.40,15.96 m,"<a class="""" href=""https://sailboatdata.com/sailboat/burns-40/pdf"">PDF</a>",BURNS 40,,Whitewater Yachts (USA),,,,,,,,,,,,,,,
930,Pram (Centerboard),Cat (Marconi),2.90 m,,1.74 m,4.55 m<sup>2</sup>,0.40 m,68 kg,,27.79,,,Plywood/single chine,,1957,,R. T. Miller,,4.29,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/butterball/pdf"">PDF</a>",BUTTERBALL,0.13 m,Bill Dodds Boats (USA),,,,,,,,,,,,,,,
931,Scow Sngl. Cbrd.,Cat (Marconi),3.66 m,,1.37 m,6.97 m<sup>2</sup>,0.71 m,62 kg,,45.18,,,FG,,1961,10750,John Barnett,,3.49,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/butterfly/pdf"">PDF</a>",BUTTERFLY,0.38 m,Barnett Boats (USA),,,,,,,,,,,,,,,
932,Centerboard Dinghy,Fractional  Sloop,4.20 m,,1.92 m,12.82 m<sup>2</sup>,,80 kg,,70.35,,,FG,,1994,,Ian Howlett,,4.50,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/buzz/pdf"">PDF</a>",BUZZ,,Topper International,,,,,,,,,,,,,,,
933,Long keel w/trans. hung rudder,Fractional  Sloop,5.26 m,4.27 m,1.78 m,14.86 m<sup>2</sup>,0.76 m,771 kg,363 kg,18.01,47.06,276.58,Wood,,1940,,L. F.  Herreshoff,16.74,1.96,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/buzzards-bay-14/pdf"">PDF</a>",BUZZARDS BAY 14,,,,,,,,,,,,,,,,,
934,Keel/Cbrd.,Gaffhead Sloop,7.47 m,4.57 m,2.06 m,30.75 m<sup>2</sup>,1.68 m,"1,103 kg",454 kg,29.36,41.12,321.69,Wood,Lead,1899,92,Nathaniel Herreshoff,16.54,2.01,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/buzzards-bay-15/pdf"">PDF</a>",BUZZARDS BAY 15,0.69 m,Herreshoff Mfg. Co.,,1928,,,,,,,,,,,,,
935,Keel/Cbrd.,Gaffhead Sloop,8.84 m,5.49 m,2.46 m,43.66 m<sup>2</sup>,,"2,009 kg",,27.96,,339.11,Wood planked,,1903,5,N Herreshoff,19.87,1.97,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/buzzards-bay-18/pdf"">PDF</a>",BUZZARDS BAY 18,0.91 m,Herreshoff Manufacturing (USA),,1904,,,,,,,,,,,,,
936,Keel/Cbrd.,Gaffhead Sloop,9.93 m,7.62 m,2.67 m,50.07 m<sup>2</sup>,1.98 m,"3,357 kg",,22.78,,211.43,Wood,,1914,5,Nathaniel Herreshoff,23.32,1.80,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/buzzards-bay-25/pdf"">PDF</a>",BUZZARDS BAY 25,0.94 m,Herreshoff Manufacturing Co.,,,,,,,,,,,,,,,
937,Keel/Cbrd.,Gaff Head Cutter,14.17 m,9.14 m,3.30 m,130.06 m<sup>2</sup>,2.74 m,"9,140 kg",,30.37,,333.17,Wood,,1901,14,Nathaniel Herreshoff,37.31,1.60,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/buzzards-bay-30/pdf"">PDF</a>",BUZZARDS BAY 30,1.60 m,Herreshoff Manufacturing Co.,,1902,,,,,,,,,,,,,
938,Fin w/spade rudder,Masthead Sloop,9.14 m,7.67 m,3.05 m,36.79 m<sup>2</sup>,1.62 m,"3,357 kg","1,451 kg",16.74,43.24,207.17,FG,,1975,,Robert Perry,20.00,2.06,2.59,11.67 m,3.73 m,10.00 m,2.99 m,,,21.79 m<sup>2</sup>,14.93 m<sup>2</sup>,16.71,12.26 m,"<a class="""" href=""https://sailboatdata.com/sailboat/bystedt-30/pdf"">PDF</a>",BYSTEDT 30,,Pacific Coast Boat Works (CAN),,,,Diesel,10,57 L,,76 L,,,,,,12.80 m,
939,Dbrd. Dinghy,Cat (unstayed),3.66 m,3.20 m,1.30 m,5.39 m<sup>2</sup>,,45 kg,,43.38,,38.18,FG,,1973,2500,Ian Bruce,2.03,3.68,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/byte/pdf"">PDF</a>",BYTE,,Byte Boats Inc. / Performance Sailcraft,,,,,,,,,,,,,,,
940,Catamaran Twin Dbrd.,Cat (rotating spar),7.62 m,7.62 m,4.27 m,27.87 m<sup>2</sup>,,,,,,,,,1960,,,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-class-catamaran/pdf"">PDF</a>",C CLASS CATAMARAN,,,,,,,,,,,,,,,,,
941,Scow Twin Cbrd.,Cat (Marconi),6.10 m,,2.13 m,20.07 m<sup>2</sup>,1.01 m,295 kg,,46.13,,,FG or Wood,,1905,,J.O. Johnson,,3.23,,,,8.23 m,4.88 m,,,,20.07 m<sup>2</sup>,46.13,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-scow/pdf"">PDF</a>",C SCOW,0.06 m,Johnson Boatworks (USA),,,,,,,,,,,,,,,
942,Fin w/bulb & spade rudder,Fractional  Sloop,9.88 m,6.40 m,2.11 m,26.48 m<sup>2</sup>,1.22 m,"1,247 kg",603 kg,23.29,48.36,132.56,FG,Lead,2012,,Chris Hood/David Robison,13.22,1.98,4.53,8.79 m,2.51 m,9.31 m,3.30 m,,,11.05 m<sup>2</sup>,15.36 m<sup>2</sup>,23.23,9.14 m,"<a class="""" href=""https://sailboatdata.com/sailboat/c-w-hood-32/pdf"">PDF</a>",C W HOOD 32,,C. W. Hood (USA),,,,Electric,,,,,cwhoodyachts.com,,,,,,
943,Catamaran Twin Keel,Cat (Marconi),9.14 m,8.08 m,4.50 m,39.95 m<sup>2</sup>,0.86 m,"2,722 kg",,20.90,,143.93,FG w/vinylester resin,,1992,,Bill Symons,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-cat-3014/pdf"">PDF</a>",C-CAT 3014,,Hutchins Co. (USA),,,,Outboard,9.9-35,76 L,1.93 m,227 L,,0.69,,,,14.48 m,
944,Catamaran Twin Keel,Fractional  Sloop,11.10 m,10.85 m,5.84 m,78.10 m<sup>2</sup>,1.30 m,"5,000 kg",,27.25,,109.07,FG,,2015,,Marc Lombard,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-cat-37/pdf"">PDF</a>",C-CAT 37,,C-Catamarans (ITA),,,,Diesel,2x 20,200 L,,300 L,,0.82,,,,16.75 m,
945,Centerboard Dinghy,Fractional  Sloop,4.27 m,4.27 m,1.74 m,12.36 m<sup>2</sup>,1.07 m,134 kg,,48.07,,47.99,FG,,1964,1400,Don Clark,3.20,3.43,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-lark/pdf"">PDF</a>",C-LARK,0.23 m,Clark Boat Co. (USA),,1979,,,,,,,,,,,,,
946,Fin w/spade rudder,Fractional  Sloop,10.85 m,8.45 m,3.45 m,52.10 m<sup>2</sup>,1.50 m,"5,500 kg","2,200 kg",17.06,40.00,254.13,FG,,2010,,Frans Maas,24.59,1.97,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-yacht-1050/pdf"">PDF</a>",C-YACHT 1050,,Zaadnoordijk Watersport (NED),,,Yanmar,Diesel,29,100 L,,200 L,,,,,,15.40 m,
947,Fin w/spade rudder,Fractional  Sloop,11.00 m,9.30 m,3.70 m,66.40 m<sup>2</sup>,1.60 m,"7,100 kg","3,000 kg",18.34,42.25,246.05,FG,,2001,,Frans Maas,27.04,1.94,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-yacht-1100/pdf"">PDF</a>",C-YACHT 1100,,Zaadnoordijk Watersport (NED),,,Yanmar,Diesel,39,150 L,,300 L,,,,,,17.10 m,
948,Fin w/spade rudder,Fractional  Sloop,11.30 m,9.30 m,3.70 m,60.90 m<sup>2</sup>,1.60 m,"7,300 kg","3,000 kg",16.51,41.10,252.98,FG,,2002,,Frans Maas,27.55,1.93,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-yacht-1130-ds/pdf"">PDF</a>",C-YACHT 1130 DS,,Zaadnoordijk Watersport (NED),,,Yanmar,Diesel,39,290 L,,350 L,,,,,,17.10 m,
949,Fin w/spade rudder,Fractional  Sloop,11.97 m,9.80 m,3.64 m,71.90 m<sup>2</sup>,1.80 m,"7,800 kg","3,200 kg",18.66,41.03,231.01,FG,,2007,,Frans Maas,28.51,1.85,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-yacht-1150/pdf"">PDF</a>",C-YACHT 1150,,Zaadnoordijk Watersport (NED),,,Yanmar,Diesel,39,160 L,,320 L,,,,,,18.25 m,
950,Fin w/spade rudder,Fractional  Sloop,12.88 m,10.90 m,3.90 m,81.00 m<sup>2</sup>,1.80 m,"11,000 kg","4,400 kg",16.72,40.00,236.75,FG,,2004,,Frans Maas,33.33,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c-yacht-1250/pdf"">PDF</a>",C-YACHT 1250,,Zaadnoordijk Watersport (NED),,,Yanmar,Diesel,57,57 L,,320 L,,,,,,19.20 m,
951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 1/2 TON,,,,,,,,,,,,,,,,,
952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 101,,,,,,,,,,,,,,,,,
953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 110,,,,,,,,,,,,,,,,,
954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 115,,,,,,,,,,,,,,,,,
955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 121,,,,,,,,,,,,,,,,,
956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 131,,,,,,,,,,,,,,,,,
957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 24,,,,,,,,,,,,,,,,,
958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 25,,,,,,,,,,,,,,,,,
959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 25 MKII,,,,,,,,,,,,,,,,,
960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 26,,,,,,,,,,,,,,,,,
961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 26 ENCOUNTER,,,,,,,,,,,,,,,,,
962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 26 WAVE,,,,,,,,,,,,,,,,,
963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 27 MK I ,,,,,,,,,,,,,,,,,
964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 27 MK II,,,,,,,,,,,,,,,,,
965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 27 MK III,,,,,,,,,,,,,,,,,
966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 27 MK IV,,,,,,,,,,,,,,,,,
967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 27 MK V,,,,,,,,,,,,,,,,,
968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 29,,,,,,,,,,,,,,,,,
969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 29-2,,,,,,,,,,,,,,,,,
970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 3/4 TON,,,,,,,,,,,,,,,,,
971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 30-1 (1-506),,,,,,,,,,,,,,,,,
972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 30-2,,,,,,,,,,,,,,,,,
973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 32,,,,,,,,,,,,,,,,,
974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 33,,,,,,,,,,,,,,,,,
975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 33-2,,,,,,,,,,,,,,,,,
976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 34,,,,,,,,,,,,,,,,,
977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 34/36,,,,,,,,,,,,,,,,,
978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 34+DK,,,,,,,,,,,,,,,,,
979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 34+R,,,,,,,,,,,,,,,,,
980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 34+WK,,,,,,,,,,,,,,,,,
981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 35-1(REDWING 35),,,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 35-2,,,,,,,,,,,,,,,,,
983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 35-3,,,,,,,,,,,,,,,,,
984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 36-1,,,,,,,,,,,,,,,,,
985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 36R,,,,,,,,,,,,,,,,,
986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 37,,,,,,,,,,,,,,,,,
987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 37-2,,,,,,,,,,,,,,,,,
988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 37/40 R,,,,,,,,,,,,,,,,,
989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 37/40 XL,,,,,,,,,,,,,,,,,
990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 37/40+,,,,,,,,,,,,,,,,,
991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 38-1,,,,,,,,,,,,,,,,,
992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 38-2,,,,,,,,,,,,,,,,,
993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 38-3,,,,,,,,,,,,,,,,,
994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 39,,,,,,,,,,,,,,,,,
995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 40 CRUSADER,,,,,,,,,,,,,,,,,
996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 40-1,,,,,,,,,,,,,,,,,
997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 40-2,,,,,,,,,,,,,,,,,
998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 40-2 AC,,,,,,,,,,,,,,,,,
999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 41,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 41 GP,,,,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 41 LIMITED ED,,,,,,,,,,,,,,,,,
1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 42 CUSTOM,,,,,,,,,,,,,,,,,
1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 43-1,,,,,,,,,,,,,,,,,
1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 43-2,,,,,,,,,,,,,,,,,
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 44,,,,,,,,,,,,,,,,,
1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 44 CUSTOM,,,,,,,,,,,,,,,,,
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 45,,,,,,,,,,,,,,,,,
1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 46,,,,,,,,,,,,,,,,,
1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 48 CUSTOM,,,,,,,,,,,,,,,,,
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 50,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 51 CUSTOM,,,,,,,,,,,,,,,,,
1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 53 (INFERNO),,,,,,,,,,,,,,,,,
1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 57,,,,,,,,,,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 61,,,,,,,,,,,,,,,,,
1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;C 99,,,,,,,,,,,,,,,,,
1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;L 36,,,,,,,,,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C&amp;L EXPLORER 45,,,,,,,,,,,,,,,,,
1018,Catamaran Twin Dbrd.,Frac. Sloop (Rotating Spar),5.50 m,5.50 m,2.60 m,21.09 m<sup>2</sup>,0.60 m,180 kg,,67.32,,30.19,FG,,2009,,Greg Goodall,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/c2-f18/pdf"">PDF</a>",C2 F18,,Australian High Performance Catamarans,,,,,,,,,,1.61,,,,,
1019,Fin w/bulb & spade rudder,Fractional  Sloop,11.38 m,10.28 m,3.98 m,79.30 m<sup>2</sup>,2.05 m,"9,070 kg","2,205 kg",18.61,24.31,232.62,FG w/ vacuum infusion,Cast iron,2021,,Cossutti Yacht Design,28.99,1.93,2.35,15.50 m,4.28 m,15.00 m,5.28 m,,,33.16 m<sup>2</sup>,39.59 m<sup>2</sup>,17.07,16.08 m,"<a class="""" href=""https://sailboatdata.com/sailboat/c38-bavaria/pdf"">PDF</a>",C38 (BAVARIA),,Bavaria Yachts (GER),,,Yanmar,Diesel; Saildrive,29,210 L,,210 L,,,,,,18.75 m,
1020,Fin w/bulb & dual rudders,Fractional  Sloop,12.38 m,11.27 m,4.29 m,100.60 m<sup>2</sup>,2.10 m,"9,678 kg","2,698 kg",22.61,27.88,188.35,FG w/ vacuum infusion,Cast iron,2020,,Cossutti Yacht Design,25.60,2.03,3.22,17.50 m,5.05 m,16.50 m,5.51 m,,,44.19 m<sup>2</sup>,45.46 m<sup>2</sup>,20.15,18.21 m,"<a class="""" href=""https://sailboatdata.com/sailboat/c42-bavaria/pdf"">PDF</a>",C42 (BAVARIA),,Bavaria Yachts (GER),4JH40,,Yanmar,Diesel,40,210 L,,210 L,,,,,,20.10 m,
1021,Fin w/bulb & dual rudders,Fractional  Sloop,14.43 m,12.87 m,4.49 m,114.00 m<sup>2</sup>,2.20 m,"11,935 kg","3,065 kg",22.28,25.68,156.08,FG w/ vacuum infusion,Cast iron,2018,,Cossutti Yacht Design,25.85,1.99,3.67,18.40 m,5.25 m,17.70 m,6.03 m,,,48.29 m<sup>2</sup>,53.36 m<sup>2</sup>,19.87,19.13 m,"<a class="""" href=""https://sailboatdata.com/sailboat/c45-bavaria/pdf"">PDF</a>",C45 (BAVARIA),,Bavaria Yachts (GER),4JH57,,Yanmar,Diesel,57,250 L,,650 L,,,,,,21.57 m,
1022,Fin w/bulb & spade rudder,Fractional  Sloop,15.55 m,14.44 m,5.00 m,135.00 m<sup>2</sup>,2.30 m,"15,490 kg","4,500 kg",22.18,29.05,143.34,FG w/ vacuum infusion,Cast iron,2018,,Cossutti Yacht Design,26.25,2.03,3.89,20.00 m,5.77 m,19.15 m,6.66 m,,,57.70 m<sup>2</sup>,63.77 m<sup>2</sup>,19.96,20.82 m,"<a class="""" href=""https://sailboatdata.com/sailboat/c50-bavaria/pdf"">PDF</a>",C50 (BAVARIA),,Bavaria Yachts (GER),4JH80,,Yanmar,Diesel,80,250 L,,650 L,,,,,,23.25 m,
1023,Fin w/bulb & spade rudder,Fractional  Sloop,16.73 m,15.50 m,5.28 m,153.00 m<sup>2</sup>,2.52 m,"17,130 kg","5,310 kg",23.51,31.00,128.22,FG w/ vacuum infusion,Cast iron,2017,,Cossutti Yacht Design,25.14,2.07,4.29,20.40 m,6.55 m,20.00 m,6.88 m,,,66.81 m<sup>2</sup>,68.80 m<sup>2</sup>,20.84,21.43 m,"<a class="""" href=""https://sailboatdata.com/sailboat/c57-bavaria/pdf"">PDF</a>",C57 (BAVARIA),,Bavaria Yachts (GER),Saildrive,,,Disel,80,500 L,,650 L,,,,,,24.26 m,
1024,Swing Keel,Masthead Sloop,6.98 m,6.30 m,2.68 m,33.72 m<sup>2</sup>,1.55 m,"2,685 kg",949 kg,17.80,35.34,299.21,"plywood, multi-chine",Iron,1976,93,P. Harle,23.69,1.95,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cabernet/pdf"">PDF</a>",CABERNET,0.75 m,Chantier Aubin (FRA),,1981,,,,,,,,,,,,,
1025,Long Keel,Cutter,11.28 m,8.13 m,3.35 m,55.00 m<sup>2</sup>,1.47 m,"7,711 kg","2,631 kg",14.38,34.12,400.07,FG,,1988,,W.I.B. Crealock,36.20,1.71,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cabo-rico-34/pdf"">PDF</a>",CABO RICO 34,,"Cabo Rico Yachts, Inc.",,,Universal,Diesel,38,151 L,,553 L,,,,,,,
1026,Long Keel,Cutter,11.76 m,8.18 m,3.35 m,57.97 m<sup>2</sup>,1.47 m,"7,893 kg","2,676 kg",14.92,33.91,402.20,FG,,1988,,W.I.B. Crealock,36.34,1.70,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cabo-rico-36/pdf"">PDF</a>",CABO RICO 36,,"Cabo Rico Yachts, Inc.",,,Yanmar,Diesel,40,189 L,,553 L,,,,,,,
1027,Long Keel,Cutter,11.58 m,8.92 m,3.51 m,90.02 m<sup>2</sup>,1.52 m,"9,525 kg","3,538 kg",20.45,37.14,374.62,FG,,1977,200,W.I.B. Crealock/Dennis Garrett,39.37,1.67,1.16,13.41 m,5.64 m,12.22 m,4.80 m,,,37.81 m<sup>2</sup>,29.32 m<sup>2</sup>,15.25,14.55 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cabo-rico-38/pdf"">PDF</a>",CABO RICO 38,,"Cabo Rico Custom Yachts, Inc. (CR)",4108,,Perkins,Diesel,,208 L,,568 L,,,,,,15.24 m,
1028,Long Keel,Cutter,11.58 m,8.92 m,3.51 m,,1.52 m,"9,752 kg","3,175 kg",,32.56,383.54,FG,,1976,,W.I.B. Crealock ,40.30,1.66,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cabo-rico-38-ph/pdf"">PDF</a>",CABO RICO 38 PH,,"Cabo Rico Custom Yachts, Inc. (CR)",,,Perkins,Diesel,,,,,,,,,,,
1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABO RICO 40/42,,,,,,,,,,,,,,,,,
1030,Long Keel,Cutter,14.17 m,9.81 m,3.86 m,84.45 m<sup>2</sup>,1.60 m,"12,219 kg","4,717 kg",16.25,38.61,361.23,FG,Lead,2005,,Chuck Paine/Ed Joy,38.80,1.69,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cabo-rico-42-pilot/pdf"">PDF</a>",CABO RICO 42 PILOT,,Cabo Rico,,,Yanmar,Diesel,54,273 L,,625 L,,,,,,,
