,Construction
fg foam/vinyl w/infusion/carbon stringers,0.00023820867079561695
wood/clinker,0.00023820867079561695
fg/ balsa sand. deck,0.00023820867079561695
wood planked single chine,0.00023820867079561695
grp w/1st layer vinylester resin and balsa sandwich,0.00023820867079561695
fg w/ balsa cored deck,0.00023820867079561695
fg with foam core,0.00023820867079561695
wood/fg/single chine,0.00023820867079561695
epoxy foam sand.w/carbon,0.00023820867079561695
wood (strip. planked mahogany),0.00023820867079561695
fg w/vacuum infused vinylester resin,0.00023820867079561695
wood (cold molded),0.00023820867079561695
fg/wood deck,0.00023820867079561695
fg (foam sandwich),0.00023820867079561695
wood (cold molded)/fg,0.00023820867079561695
wood / epoxy,0.00023820867079561695
wood (clinker)/wood(carvel),0.00023820867079561695
wood (mahog. on oak),0.00023820867079561695
mahogany strip planked,0.00023820867079561695
grp w/vinylester and balsa sandwich,0.00023820867079561695
fg multi chine,0.00023820867079561695
fg/w closed cell foam deck,0.00023820867079561695
fg w/airex hull/balsa core deck,0.00023820867079561695
wood - (clinker),0.00023820867079561695
frp w/balsa core bottom/solid topsides,0.00023820867079561695
acp,0.00023820867079561695
fg w/cored deck,0.00023820867079561695
fg w/balsa or airex cored deck,0.00023820867079561695
alu multi-chine,0.00023820867079561695
vacuum infused composite fg with vinylester and balsa core,0.00023820867079561695
fg (vacuum infusion resin) w/ balsa sandwich,0.00023820867079561695
fg hull/wood deck,0.00023820867079561695
fg w/ sandwich,0.00023820867079561695
wood / fg,0.00023820867079561695
fg with vacuum infused epoxy,0.00023820867079561695
grp with vinylester infusion,0.00023820867079561695
alum. or steel,0.00023820867079561695
roto molded polyethylene,0.00023820867079561695
glass/carbon fiber over foam core,0.00023820867079561695
alu/fg,0.00023820867079561695
abs/fg,0.00023820867079561695
fg w/vacuum bagged corecell core,0.00023820867079561695
fg with wood,0.00023820867079561695
fg w/divinycell core,0.00023820867079561695
fg w/poly foam sand,0.00023820867079561695
fg w/bals cored deck,0.00023820867079561695
fg twaron reiforced w/balsa deck,0.00023820867079561695
ply wood,0.00023820867079561695
epoxy-frp,0.00023820867079561695
e-glass/epoxy/pvc foam,0.00023820867079561695
