,Designer
sabre design team,0.0005955216769890424
walter shultz,0.0005955216769890424
hein driehuyzen,0.0005955216769890424
andrew stewart,0.0005955216769890424
peter roos,0.0005955216769890424
alliaura marine,0.0005955216769890424
van de stadt design,0.0005955216769890424
peter ibold,0.0005955216769890424
ian l. anderson,0.0005955216769890424
luca brenta,0.0005955216769890424
niels helleberg,0.0005955216769890424
hobie cat,0.0005955216769890424
julian bethwaite,0.0005955216769890424
bent juul andersen,0.0005955216769890424
tom norton,0.0005955216769890424
arthur robb,0.0005955216769890424
jan kjaerulff,0.0005955216769890424
guy-christer lönngren,0.0005955216769890424
stuart windley,0.0005955216769890424
l. francis herreshoff,0.0005955216769890424
hans åge larsen,0.0005955216769890424
kevin dibley,0.0005955216769890424
andrej justin,0.0005955216769890424
briand yacht design,0.0005955216769890424
leszek gonciarz,0.0005955216769890424
olef jorgensen/bent juul andersen,0.0005955216769890424
hank hinckley,0.0005955216769890424
frank v. butler,0.0005955216769890424
yamaha design team,0.0005955216769890424
richard carlson,0.0005955216769890424
john watkinson,0.0005955216769890424
peter dean,0.0005955216769890424
per brohall,0.0005955216769890424
hakan sodergren,0.0005955216769890424
william h. tripp jr,0.0005955216769890424
alfred westmacott,0.0005955216769890424
robert clark,0.0005955216769890424
scott jutson,0.0005955216769890424
dick newick,0.0005955216769890424
scott sprague,0.0005955216769890424
jens quorning and steen olsen,0.0005955216769890424
nathaniel herreshoff,0.0005955216769890424
escape sailboat co,0.0005955216769890424
buchwald & borghegn,0.0005955216769890424
ted brewer/robert walstrom,0.0005955216769890424
george cuthbertson,0.0005955216769890424
phil southwell,0.0005955216769890424
umberto felci / patrick roséo,0.0005955216769890424
marion excoffon,0.0005955216769890424
peter cole,0.0005955216769890424
doug peterson (unauthorized),0.0005955216769890424
oluf jørgensen,0.0005955216769890424
thomas bern,0.0005955216769890424
philippe briand/andrew winch,0.0005955216769890424
kim holman,0.0005955216769890424
laurie davidson,0.0005955216769890424
hobie alter,0.0005955216769890424
walter f. rayner,0.0004764173415912339
robert h. perry,0.0004764173415912339
juan kouyoumdjian,0.0004764173415912339
al mason,0.0004764173415912339
axel de la hidalga,0.0004764173415912339
olle enderlain,0.0004764173415912339
jean berret/ philippe starck,0.0004764173415912339
o. flahault design /joubert - nivelt,0.0004764173415912339
rod macalpine-downie,0.0004764173415912339
